NOP,0
RETURN,1000
RETFIE,1001
SLEEP,1100011
CLRWDT,1100100
MOVWF,10000000
CLRW,100000000
CLRF,110000000
SUBWF,1000000000
DECF,1100000000
IORWF,10000000000
ANDWF,10100000000
XORWF,11000000000
ADDWF,11100000000
MOVF,100000000000
COMF,100100000000
INCF,101000000000
DECFSZ,101100000000
RRF,110000000000
RLF,110100000000
SWAPF,111000000000
INCFSZ,111100000000
BCF,1000000000000
BSF,1010000000000
BTFSC,1100000000000
BTFSS,1110000000000
CALL,10000000000000
GOTO,10100000000000
MOVLW,11000000000000
RETLW,11010000000000
IORLW,11100000000000
ANDLW,11100100000000
XORLW,11101000000000
SUBLW,11110000000000
ADDLW,11111000000000
